cycle,day,currentState'N_f',currentState'N_s',currentState'N_L',currentState'W_f',currentState'W_s',currentState'W_L',currentState'A_L',prevState'N_f',prevState'N_s',prevState'N_L',prevState'W_f',prevState'W_s',prevState'W_L',prevState'A_L',d_Int'N_f',d_Int'N_s',d_Int'N_L',d_Int'W_f',d_Int'W_s',d_Int'W_L',d_Int'A_L'
0,0,0.0,1.0,2.371467908204497,0.05,1.5,0.05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1,0.0,1.0,2.371467908204497,0.05,1.5,0.05,0.5,0.0,1.0,2.371467908204497,0.05,1.5,0.05,0.5,-0.025,0.126,-0.02,0.0,-0.00297711925984712,-0.02139437207159115,-0.00040182758323383
48,2,0.025,0.874,2.391467908204497,0.05,1.5029771192598471,0.07139437207159116,0.5004018275832338,0.0,1.0,2.371467908204497,0.05,1.5,0.05,0.5,-0.03015,0.12285,-0.02252000000000002,-0.00018443948088954,-0.00562059810592497,-0.02461440257373461,-0.00041167569291635
72,3,0.05515,0.75115,2.413987908204497,0.05018443948088954,1.508597717365772,0.09600877464532577,0.5008135032761502,0.025,0.874,2.391467908204497,0.05,1.5029771192598471,0.07139437207159116,0.5004018275832338,-0.0312109,0.10317509999999999,-0.02283752000000004,-0.00045159377463449,-0.00793006325400625,-0.02559226589144174,-0.00042242157606339
96,4,0.0863609,0.6479749,2.436825428204497,0.05063603325552404,1.5165277806197783,0.12160104053676751,0.5012359248522136,0.05515,0.75115,2.413987908204497,0.05018443948088954,1.508597717365772,0.09600877464532577,0.5008135032761502,-0.0314294454,0.0837634266,-0.02287752751999998,-0.00075068705010018,-0.00995304581539869,-0.02627852702627297,-0.00043299674804576
120,5,0.1177903454,0.5642114734,2.459702955724497,0.05138672030562422,1.526480826435177,0.1478795675630405,0.5016689216002593,0.0863609,0.6479749,2.436825428204497,0.05063603325552404,1.5165277806197783,0.12160104053676751,0.5012359248522136,-0.0314744657524,0.06680325387960001,-0.02288256846752,-0.00106448210793627,-0.01173973102899928,-0.02691450998473693,-0.00044331768217394
144,6,0.14926481115239998,0.4974082195204,2.4825855241920167,0.05245120241356048,1.5382205574641763,0.17479407754777743,0.5021122392824333,0.1177903454,0.5642114734,2.459702955724497,0.05138672030562422,1.526480826435177,0.1478795675630405,0.5016689216002593,-0.0314837399449944,0.05228327944319759,-0.02288320362690747,-0.00138764511457957,-0.01333591665369527,-0.0275325317874264,-0.00045342025560984
168,7,0.18074855109739438,0.4451249400772024,2.5054687278189243,0.05383884752814005,1.5515564741178716,0.20232660933520383,0.5025656595380431,0.14926481115239998,0.4974082195204,2.4825855241920167,0.05245120241356048,1.5382205574641763,0.17479407754777743,0.5021122392824333,-0.03148565042866885,0.03989911822129871,-0.02288328365699037,-0.00171844484229272,-0.01478228706097084,-0.02813929761890397,-0.00046335392568031
192,8,0.21223420152606323,0.40522582185590367,2.528352011475915,0.05555729237043277,1.5663387611788424,0.2304659069541078,0.5030290134637234,0.18074855109739438,0.4451249400772024,2.5054687278189243,0.05383884752814005,1.5515564741178716,0.20232660933520383,0.5025656595380431,-0.03148604398830579,0.02934423305744353,-0.02288329374078083,-0.00205622684583158,-0.0161147335972629,-0.02873834224376615,-0.00047316921410994
216,9,0.24372024551436902,0.3758815887984601,2.5512353052166956,0.05761351921626434,1.5824534947761053,0.25920424919787394,0.5035021826778333,0.21223420152606323,0.40522582185590367,2.528352011475915,0.05555729237043277,1.5663387611788424,0.2304659069541078,0.5030290134637234,-0.03148612506159099,0.02034970261903337,-0.02288329501133833,-0.00240071544679108,-0.01736483658692811,-0.02933276215260898,-0.00048291591386409
240,10,0.27520637057596004,0.35553188617942677,2.574118600228034,0.06001423466305542,1.5998183313630334,0.28853701135048293,0.5039850985916974,0.24372024551436902,0.3758815887984601,2.5512353052166956,0.05761351921626434,1.5824534947761053,0.25920424919787394,0.5035021826778333,-0.03148614176268775,0.01268507749603501,-0.02288329517142866,-0.00275182530863011,-0.01856035324800809,-0.02992552931651756,-0.00049264251637701
264,11,0.3066925123386478,0.34284680868339173,2.5970018953994627,0.06276605997168554,1.6183786846110415,0.31846254066700047,0.5044777411080744,0.27520637057596004,0.35553188617942677,2.574118600228034,0.06001423466305542,1.5998183313630334,0.28853701135048293,0.5039850985916974,-0.03148614520311369,0.00615376110393815,-0.02288329519160002,-0.00310960581269515,-0.01972567988881146,-0.03051951443706066,-0.00050239590572435
288,12,0.33817865754176146,0.33669304757945356,2.6198851905910625,0.06587566578438069,1.638104364499853,0.3489820551040611,0.5049801370137987,0.3066925123386478,0.34284680868339173,2.5970018953994627,0.06276605997168554,1.6183786846110415,0.31846254066700047,0.5044777411080744,-0.03148614591184141,0.00058818704384542,-0.0228832951941416,-0.0034742190914011,-0.02088227991179648,-0.03111748266753458,-0.00051222122323822
312,13,0.36966480345360286,0.3361048605356082,2.6427684857852043,0.06934988487578178,1.6589866444116494,0.38009953777159566,0.505492358237037,0.33817865754176146,0.33669304757945356,2.6198851905910625,0.06587566578438069,1.638104364499853,0.3489820551040611,0.5049801370137987,-0.03148614605783933,-0.00415444124014281,-0.02288329519446184,-0.00384592704283571,-0.02204907491770114,-0.03172209282137159,-0.00052216186276537
336,14,0.4011509495114422,0.340259301775751,2.6656517809796663,0.07319581191861749,1.6810357193293506,0.4118216305929673,0.5060145200998023,0.36966480345360286,0.3361048605356082,2.6427684857852043,0.06934988487578178,1.6589866444116494,0.38009953777159566,0.505492358237037,-0.03148614608791491,-0.00819580721095509,-0.0228832951945022,-0.00422508145405084,-0.02324279857029787,-0.03233590197568011,-0.00053225955900382
360,15,0.4326370955993571,0.34845510898670606,2.6885350761741686,0.07742089337266833,1.7042785178996485,0.4441575325686474,0.5065467796588061,0.4011509495114422,0.340259301775751,2.6656517809796663,0.07319581191861749,1.6810357193293506,0.4118216305929673,0.5060145200998023,-0.03148614609411047,-0.01163960202177437,-0.02288329519450731,-0.00461211587063919,-0.0244783142692826,-0.03296137401754543,-0.00054255453712454
384,16,0.4641232416934676,0.36009471100848045,2.711418371368676,0.08203300924330752,1.728756832168931,0.4771189065861928,0.5070893341959307,0.4326370955993571,0.34845510898670606,2.6885350761741686,0.07742089337266833,1.7042785178996485,0.4441575325686474,0.5065467796588061,-0.03148614609538677,-0.01457418472105195,-0.02288329519450792,-0.00500753886271378,-0.02576889856642017,-0.03360089065323361,-0.00055308569932052
408,17,0.4956093877888543,0.3746688957295324,2.7343016665631836,0.0870405481060213,1.7545257307353512,0.5107197972394264,0.5076424198952513,0.4641232416934676,0.36009471100848045,2.711418371368676,0.08203300924330752,1.728756832168931,0.4771189065861928,0.5070893341959307,-0.03148614609564967,-0.01707484927432711,-0.02288329519450797,-0.00541192853721639,-0.02712649280035495,-0.03425676375648557,-0.00056389083067799
432,18,0.527095533884504,0.3917437450038595,2.757184961757692,0.09245247664323769,1.7816522235357062,0.544976560995912,0.5082063107259293,0.4956093877888543,0.3746688957295324,2.7343016665631836,0.0870405481060213,1.7545257307353512,0.5107197972394264,0.5076424198952513,-0.03148614609570385,-0.01920575640752643,-0.02288329519450803,-0.00582592817474243,-0.02856192570859339,-0.03493124826631305,-0.00057500681219941
456,19,0.5585816799802079,0.4109495014113859,2.7800682569522,0.09827840481798011,1.8102141492442996,0.579907809262225,0.5087813175381287,0.527095533884504,0.3917437450038595,2.757184961757692,0.09245247664323769,1.7816522235357062,0.544976560995912,0.5082063107259293,-0.03148614609571499,-0.02102157980701991,-0.02288329519450803,-0.00625024287058413,-0.03008510987121027,-0.0356265551072238,-0.00058646983294729
480,20,0.5900678260759229,0.43197108121840583,2.802951552146708,0.10452864768856424,1.8402992591155098,0.6155343643694487,0.509367787371076,0.5585816799802079,0.4109495014113859,2.7800682569522,0.09827840481798011,1.8102141492442996,0.579907809262225,0.5087813175381287,-0.03148614609571729,-0.02256890890773167,-0.02288329519450803,-0.00668563706305177,-0.03170521480624711,-0.03634486380006993,-0.00059831559632425
504,21,0.6215539721716402,0.4545399901261375,2.8258348473412163,0.111214284751616,1.872004473921757,0.6518792281695187,0.5099661029674003,0.5900678260759229,0.43197108121840583,2.802951552146708,0.10452864768856424,1.8402992591155098,0.6155343643694487,0.509367787371076,-0.03148614609571777,-0.02388744426010754,-0.02288329519450803,-0.00713293284035526,-0.03343081941569803,-0.03708833457235763,-0.0006105795176841
528,22,0.653040118267358,0.478427434386245,2.8487181425357244,0.11834721759197125,1.905435293337455,0.6889675627418763,0.5105766824850844,0.6215539721716402,0.4545399901261375,2.8258348473412163,0.111214284751616,1.872004473921757,0.6518792281695187,0.5099661029674003,-0.03148614609571785,-0.02501101614579378,-0.02288329519450803,-0.0075930089287458,-0.0352700463069151,-0.03785911987534599,-0.00062329691198592
552,23,0.6845262643630758,0.5034384505320388,2.8716014377302326,0.12594022652071704,1.94070533964437,0.7268266826172223,0.5111999793970703,0.653040118267358,0.478427434386245,2.8487181425357244,0.11834721759197125,1.905435293337455,0.6889675627418763,0.5105766824850844,-0.03148614609571791,-0.02596845257708068,-0.02288329519450803,-0.00806680027736489,-0.03723068031171684,-0.0386593752821866,-0.00063650317122658
576,24,0.7160124104587937,0.5294069031091195,2.8944847329247407,0.13400702679808194,1.977936019956087,0.7654860578994089,0.5118364825682968,0.6845262643630758,0.5034384505320388,2.8716014377302326,0.12594022652071704,1.94070533964437,0.7268266826172223,0.5111999793970703,-0.03148614609571788,-0.02678431895077112,-0.02288329519450803,-0.00855529816801994,-0.03932027331186494,-0.03949126978520204,-0.00065023393205286
600,25,0.7474985565545116,0.5561912220598907,2.917368028119249,0.14256232496610188,2.017256293267952,0.8049773276846109,0.5124867165003497,0.7160124104587937,0.5294069031091195,2.8944847329247407,0.13400702679808194,1.977936019956087,0.7654860578994089,0.5118364825682968,-0.03148614609571788,-0.02747954833411939,-0.02288329519450803,-0.00905955079012995,-0.041546237266751,-0.04035699553773568,-0.00066452523436342
624,26,0.7789847026502295,0.58367077039401,2.940251323313757,0.15162187575623182,2.058802530534703,0.8453343232223466,0.5131512417347132,0.7474985565545116,0.5561912220598907,2.917368028119249,0.14256232496610188,2.017256293267952,0.8049773276846109,0.5124867165003497,-0.03148614609571788,-0.02807197855438268,-0.02288329519450803,-0.00958066423196723,-0.04391592713483883,-0.0412587771017822,-0.00067941367194282
648,27,0.8104708487459473,0.6117427489483928,2.963134618508265,0.16120253998819906,2.1027184576695417,0.8865931003241287,0.513830655406656,0.7789847026502295,0.58367077039401,2.940251323313757,0.15162187575623182,2.058802530534703,0.8453343232223466,0.5131512417347132,-0.03148614609571788,-0.02857680987234409,-0.02288329519450803,-0.01011980384891577,-0.04643671518934811,-0.04219888027048779,-0.00069493653628036
672,28,0.8419569948416652,0.6403195588207369,2.9860179137027734,0.17132234383711484,2.14915517285889,0.9287919805946165,0.5145255919429363,0.8104708487459473,0.6117427489483928,2.963134618508265,0.16120253998819906,2.1027184576695417,0.8865931003241287,0.513830655406656,-0.03148614609571791,-0.02900699498255234,-0.02288329519450803,-0.01067819597777615,-0.04911605805337738,-0.04317962053725143,-0.00071113195475752
696,29,0.8734431409373831,0.6693265538032892,3.0089012088972815,0.18200053981489098,2.198271230912267,0.971971601131868,0.5152367238976938,0.8419569948416652,0.6403195588207369,2.9860179137027734,0.17132234383711484,2.14915517285889,0.9287919805946165,0.5145255919429363,-0.03148614609571788,-0.02937357134669742,-0.02288329519450803,-0.00862060750314018,-0.05214186382473152,-0.04665958754903932,-0.00051611433638868
